Strength,筋力
Tactical Retreat,戦略的撤退
Paranoia,パラノイア
Favourable Odds,好ましいオッズ
Frantic Fighter,狂乱の戦士
Banner Aura Effect,バナーオーラ効果
Banner Glory Gained,バナー勇猛獲得
Banner Duration,バナー勇猛持続時間
Inspiring Leader,鼓舞するリーダー
Symbol of Defiance,反抗のシンボル
Reinforced Rallying,補強された鼓舞
Rallying Icon,結集の象徴
Banner Area,バナー効果範囲
Sentinels,センチネル
Silent Guardian,静かなガーディアン
Bringer of Order,秩序をもたらすもの
Holy Protector,聖なる守護者
Aftershocks,余震
Behemoth,ベヒモス
Mark Use Speed,呪印使用スピード
Marked for Sickness,病の呪印
Mark Duration,呪印持続時間
Marked Agility,呪印の敏捷さ
Unsight,視界外
Mark Effect and Blind Effect,呪印効果および盲目効果
Mark Effect and Blind Chance,呪印効果および盲目付与確率
Offering Life,オファリングライフ
Offering Duration,オファリング持続時間
Corpses,死体
Stigmata,スティグマ
Meat Recycling,肉のリサイクル
Offering Area,オファリング範囲
Lust for Sacrifice,生贄への欲望
Offering Effect,オファリング効果
Utmost Offering,最大限の供物
Damage against Ailments,状態異常に対するダメージ
Ailment Chance,状態異常付与確率
Vile Wounds,忌まわしい傷
Exploit,悪用
Exploit the Elements,元素悪用
Clean Shot,クリーンショット
Stand and Deliver,金を出すか命を寄越すか
Death from Afar,遠距離からの死
Projectile Critical Chance,投射物クリティカル率
Headshot,ヘッドショット
Brutal,残虐
Blur,不鮮明
Honed Instincts,研ぎ澄まされた直感
Raw Power,生のままの力
Pure Energy,純粋なエネルギー
Remorseless,一片の悔いなし
Relentless Vindicator,容赦なき擁護者
Devoted Protector,敬虔な守護者
Flow Like Water,水のような流れ
Step Like Mist,霧のような足取り
Sudden Escalation,突然のエスカレート
Critical Overload,クリティカル過負荷
Controlling Magic,支配の魔法
Attack and Spell Damage,アタックダメージおよびスペルダメージ
Equilibrium,イクイリブリアム
Knockback and Stun Buildup,ノックバックおよびスタン蓄積
Forcewave,力の波動
Clear Space,空間確保
Fire Penetration and Stun Buildup,火耐性貫通およびスタン蓄積
Exposed to the Inferno,業火に晒される
Breath of Fire,火の息
Cremation,焼却
Smoke Inhalation,煙の吸引
Overheating Blow,オーバーヒートした一撃
Cold Penetration,冷気耐性貫通
Shattered Crystal,粉砕された結晶
Ice Walls,氷の壁
Storm Swell,嵐のうねり
Exposed to the Cosmos,宇宙に晒される
Snowpiercer,スノーピアサー
Breath of Ice,氷の息
Glaciation,氷結
Overload,過負荷
Exposed to the Storm,嵐に晒される
Storm Surge,ストームサージ
Surging Currents,サージ電流
Electric Amplification,電気的増幅
Lightning Rod,ライトニングロッド
Electrotherapy,電気療法
Attack Damage and Combo,アタックダメージおよびコンボ
Combo Gain,コンボ獲得
Chakra of Impact,衝撃のチャクラ
Energy Shield Recharge and Delay,エナジーシールドリチャージおよび遅延
Chakra of Rhythm,リズムのチャクラ
Chakra of Breathing,呼吸のチャクラ
Chaos Damage and Resistance,混沌ダメージおよび耐性
Distant Dreamer,彼方の夢想家
Energy and Critical Chance,エネルギーおよびクリティカル率
Evocational Practitioner,召喚術修行者
Mana Regeneration and Attack Speed,マナ自動回復およびアタックスピード
Chakra of Thought,思考のチャクラ
Chakra of Sight,視界のチャクラ
Chakra of Life,生命力のチャクラ
Non-Damaging Ailment Magnitude,非ダメージ性状態異常強度
Chakra of Elements,元素のチャクラ
Chakra of Stability,安定性のチャクラ
Stun and Freeze Buildup,スタンおよび凍結蓄積
Armour Break Duration,アーマー破壊持続時間
Armour Break and Armour,アーマー破壊およびアーマー
Damage vs Armour Broken Enemies,アーマー破壊された敵に対するダメージ
Armour Break Effect,アーマー破壊効果
The Molten One's Gift,モルテンワンの贈り物
Passthrough Rounds,貫通弾
Breakage,破損
Pile On,一斉攻撃
Irreparable,修復不可能
Cruel Methods,残酷な手法
Eroding Chains,腐食の鎖
Punctured Lung,貫かれた肺
Jagged Ground Effect,ギザギザ領域効果
Perforation,穿孔
Spike Pit,針の落とし穴
Distracting Presence,注意を引く存在
Multitasking,マルチタスク
Volatile Catalyst,不安定な触媒
Ailment Chance and Effect,状態異常付与確率および効果
Deterioration,劣化
Exposed Wounds,晒された傷
Ailment Effect and Duration,状態異常効果および持続時間
Fast Acting Toxins,即効性の毒
Projectile Ailment Chance,投射物状態異常確率
Quiver Effect,矢筒効果
Master Fletching,矢作りの達人
Wrapped Quiver,包まれた矢筒
Reduced Projectile Speed,投射物スピード減少
Grenade Cooldown Recovery Rate,グレネードクールダウン解消レート
Grenade Area,グレネード範囲
Grenadier,グレネーダー
Cluster Bombs,クラスター爆弾
Volatile Grenades,不安定なグレネード
Grenade Fuse Duration,グレネードフューズ持続時間
Utility Ordnance,支援兵装
Demolitionist,爆破専門家
Pin Duration,足止め持続時間
Pin their Motivation,戦意足止め
Sitting Duck,格好の的
Pin and Run,足止めと逃走
Lockdown,足止めブースト
Primal Protection,原始の保護
Vale Shelter,谷の避難所
Thicket Warding,茂みの守り
Lucky Rabbit Foot,幸運の兎の足のお守り
Woodland Aspect,森のアスペクト
Hunter's Talisman,狩人のタリスマン
Charm Duration,チャーム持続時間
Charm Charges Used,チャーム使用チャージ
Charm Effect,チャーム効果
Charm Activation Chance,チャームアクティベーション確率
Charm Charges,チャームチャージ
Easy Going,気楽な連携
Inspiring Ally,激励する味方
Nurturing Guardian,護りの守護者
Man's Beast Friend,Man's Beast Friend
Long Distance Relationship,遠距離の絆
Unspoken Bond,語らぬ絆
Lifelong Friend,人生を通じた友
Tandem Assault,Tandem Assault
Presence Area and Companion Area,存在下範囲およびコンパニオン効果範囲
Companion Reservation,コンパニオンリザーブ
Sic 'Em,けしかけろ！
Companion Revive Speed,コンパニオン復活スピード
Ailment Threshold and Companion Resistance,状態異常閾値およびコンパニオン耐性
Attack Speed and Companion Attack Speed,Attack Speed and Companion Attack Speed
Shredding Contraptions,引き裂く罠
Escalating Mayhem,エスカレートするメイヘム
Efficient Contraptions,巧妙な罠
Hazard Rearm Chance,ハザード再設置確率
Hazard Damage,ハザードダメージ
Hazard Duration,ハザード持続時間
Delayed Gratification,条件の報酬
Hazard Area,ハザード範囲
Widespread Coverage,広範囲展開
Hindering Obstacles,阻害の障害物
Hazard Immobilisation Buildup,ハザード移動不可蓄積
Infused Limits,インフューズの限界
Infusing Power,注入された力
Everlasting Infusions,持続するインフュージョン
Empowering Infusions,強化されたインフュージョン
Infusion Chance,インフュージョン確率
Infusion Duration,インフュージョン持続時間
Infusion Consumption Chance,インフュージョン消費確率
Frozen Limit,凍結の上限
Infernal Limit,獄炎の上限
Shocking Limit,感電の上限
Unstable Bond,不安定な絆
Controlled Chaos,制御されたカオス
Volatility on Kill,キル時ボラティリティ
Volatility when Stunned,スタンを受けた時にボラティリティ
Volatility Detonation Time,ボラティリティ起爆時間
Precise Volatility,精確なボラティリティ
Glory Generation and Attack Damage,グローリー生成およびアタックダメージ
Glory Generation,グローリー生成量
Invigorating Grandeur,力みなぎる威容
Everlasting Glory,永遠の栄光
Chance to not Consume Glory,Chance to not Consume Glory
Attack Damage and Presence Area,アタックダメージおよび存在下範囲
Glorious Anticipation,栄光の予感
Thrill of the Fight,戦闘のスリル
Ailment Duration,状態異常持続時間
Hunter,狩人
Curse Effect on you,プレイヤーに対する呪い効果
Necromantic Ward,死霊術の守り
Curse Effect on you and Life Regeneration Rate,呪いおよびライフ自動回復
Movement Speed and Slow Effect on You,移動スピードおよびプレイヤーに対する減速効果
Momentum,モーメンタム
Light on your Feet,身軽
Reduced Movement Penalty and Attack Damage,Reduced Movement Penalty and Attack Damage
Spray and Pray,乱射して祈れ
Run and Gun,ランアンドガン
Damage vs Immobilised and Buildup,移動不可の敵に対するダメージおよび蓄積
Damage vs Immobilised,移動不可の敵に対するダメージ
Fearful Paralysis,恐怖による麻痺
Ballista Immobilisation Buildup,バリスタ移動不可蓄積
Ballista Damage,バリスタダメージ
Ballista Attack Speed,バリスタアタックスピード
Ballista Critical Strike and Damage,バリスタクリティカル率およびダメージ
Ballista Critical Strike,バリスタクリティカル率
Ballista Critical Damage,バリスタクリティカルダメージ
Trained Turrets,熟練砲塔
Artillery Strike,砲撃の一撃
Fortified Location,要塞化された拠点
Kept at Bay,距離を取れ
Archon Duration,アルコン持続時間
Enduring Archon,持続するアルコン
Archon Delay,アルコン遅延
Resurging Archon,再び起きるアルコン
Archon Effect and Duration,アルコン効果および持続時間
Invigorating Archon,活力を与えるアルコン
Energising Archon,エネルギーを与えるアルコン
Remnant Pickup Range,レムナント収拾距離
Remnant Effect,レムナント効果
Empowering Remnants,強化のレムナント
Vigorous Remnants,活力のレムナント
Arcane Remnants,アーケインレムナント
Spell Damage and Cast Speed,スペルダメージおよびキャストスピード
Secrets of the Orb,オーブの秘密
Ignite Effect on You,プレイヤーに対する発火効果
Flamewalker,フレイムウォーカー
Chill Effect on You,プレイヤーに対する冷却効果
Frostwalker,フロストウォーカー
Shock Effect on You,プレイヤーに対する感電効果
Stormwalker,ストームウォーカー
The Great Boar,大いなるイノシシ
The Spring Hare,春のウサギ
Charge Duration,チャージ持続時間
Charge Duration and Dexterity,チャージ持続時間および器用さ
The Fabled Stag,伝説のシカ
Reduced Attribute Requirements and All Attributes,要求能力値減少および全ての能力値
The Cunning Fox,ずる賢いキツネ
The Frenzied Bear,狂乱のクマ
Strength and Critical Damage Bonus on You,筋力およびプレイヤーに対するクリティカルダメージボーナス
The Raging Ox,怒れるウシ
The Wild Cat,野生のネコ
Ailment Magnitude,状態異常強度
The Noble Wolf,高潔なオオカミ
Accuracy Rating,命中力
The Winter Owl,冬のフクロウ
Aura Magnitude,オーラ強度
The Howling Primate,吠えるサル
Poison Duration on You,プレイヤーに対する毒持続時間
The Ancient Serpent,古代のヘビ
Sprint Movement Speed,スプリント移動スピード
Evasion while Sprinting,スプリント中の回避力
Evasion and Movement Speed while Sprinting,スプリント中の回避力および移動スピード
Marathon Runner,マラソンランナー
Agile Sprinter,素早い走者
Spell and Attack Damage,スペルおよびアタックダメージ
Giant's Blood,ジャイアントブラッド
Necromantic Talisman,ネクロマンティックタリスマン
Resonance,レゾナンス
Walker of the Wilds,Walker of the Wilds
Dance with Death,ダンスウィズデス
Oasis,オアシス
Bulwark,バルワーク
Crimson Assault,クリムゾンアサルト
Trusted Kinship,トラステッドキンシップ
Hollow Palm Technique,ホローパームテクニック
Blackflame Covenant,ブラックフレームコヴェナント
Ritual Cadence,リチュアルケイデンス
Warlord,ウォーロード
Titan,タイタン
Brute,ブルート
Smith of Kitava,キタヴァの鍛冶屋
Arcane Archer,アーケインアーチャー
Amazon,アマゾン
Beastmaster,ビーストマスター
Ritualist,プライマリスト
Infernalist,インファーナリスト
Blood Mage,ブラッドメイジ
Stormweaver,ストームウィーバー
Chronomancer,クロノマンサー
Disciple of the Djinn,Disciple of the Djinn
Deathmarked,デスマークド
Tactician,タクティシャン
Witchhunter,ウィッチハンター
Gambler,ギャンブラー
Heretic,ヘレティック
Phantom,ファントム
Martial Artist,マーシャルアーティスト
Master of the Elements,マスターオブエレメンツ
Acolyte of Chayula,チャユラの信奉者
Slam Area of Effect,スラム効果範囲
Earthbreaker,大地を破壊するもの
Ancestral Empowerment,先祖による強化
Surprising Strength,Surprising Strength
Crushing Impacts,壊滅する衝撃
Hulking Form,巨大な姿
Colossal Capacity,膨大な能力
Mysterious Lineage,神秘的な血統
Stone Skin,石の皮膚
Block Chance,ブロック確率
Anvil's Weight,金床の重さ
Imploding Impacts,内部破裂の衝撃
Jade Heritage,ヒスイの遺産
Warcaller's Bellow,ウォーコーラーの叫び
Answered Call,応えられた呼び声
Wooden Wall,木製の壁
Renly's Training,レンリーのトレーニング
Turtle Charm,亀のお守り
Heat of the Forge,鍛冶場の熱
Living Weapon,生ける武器
Against the Anvil,金床を前にして
Coal Stoker,石炭係
Forged in Flame,炎で鍛えられて
Smith's Masterwork,鍛冶屋の傑作
Tantalum Alloy,耐熱の合金
Padded Plates,Padded Plates
Lead Lining,Lead Lining
Support Straps,補強のストラップ
Kitavan Engraving,キタバの刻印
Heavy Bracing,Heavy Bracing
Leather Bindings,革の拘束具
Flowing Metal,溶けた金属
Molten Symbol,マグマのシンボル
Internal Layer,内部強化層
Dedication to Kitava,キタバへの捧げもの
Heatproofing,耐熱処理
Beidat's Gaze,ベイダットの凝視
Beidat's Hand,ベイダットの手
Beidat's Will,ベイダットの意思
Altered Flesh,変質した肉体
Demonic Possession,悪魔の憑依
Mastered Darkness,闇の支配者
Pyromantic Pact,火術の契約
Bringer of Flame,炎をもたらすもの
Grinning Immolation,笑みを浮かべた焼身
Loyal Hellhound,忠実なヘルハウンド
Seething Body,燃え上がる身体
Bleed on Critical Chance,クリティカル時出血
Gore Spike,血塗れの棘
Sunder the Flesh,肉を切り裂け
Blood Barbs,血の茨
Whispers of the Flesh,肉の囁き
Vitality Siphon,生命力吸収
Grasping Wounds,絡みつく傷
Sanguine Tides,血の色の潮
Crystalline Phylactery,結晶の魂の器
Rupture the Soul,魂を引き裂け
Necromantic Conduit,死霊術の回路
Blackened Heart,黒ずんだ心臓
Soulless Form,魂なき体
Eternal Life,永遠の命
Price of Power,力の代価
Eldritch Empowerment,エルドリッチの強化
Incessant Cacophony,絶え間ない不協和音
Chill Duration,冷却持続時間
Remnant Range,レムナント範囲
Constant Gale,絶え間ない強風
Force of Will,意思の力
Tempest Caller,テンペストコーラー
Multiplying Squalls,次々と襲うスコール
Strike Twice,二度落ちる雷
Heavy Snows,重い雪
Storm's Recollection,嵐の思い出
Refracted Infusion,屈折したインフュージョン
Buff Expiry Rate,バフ消失レート
Curse Delay,呪い遅延
Cast Speed and Area of Effect,キャストスピードおよび効果範囲
Footprints in the Sand,砂漠の足跡
Ultimate Command,究極の命令
Inevitability,避けられぬ運命
The Rapid River,流れの速い川
Now and Again,時折起きる
Unbound Encore,解放された再演
Apex of the Moment,最高潮
Quicksand Hourglass,流砂の砂時計
Spirit,スピリット
A Solid Plan,確かな計画
Watch How I Do It,私のやり方を見ていろ
Whoever Pays Best,支払いが最も高いもの
Suppressing Fire,制圧射撃
Right Where We Want Them,狙い通りの位置
Polish That Gear,装備を磨き上げろ
"Stay Light, Use Cover",素早く動け、身を隠せ
"Cannons, Ready!",大砲発射準備！
Unleash Hell!,地獄を解き放て！
Strategic Embankments,戦略的防壁
Damage vs Low Life Enemies,低ライフ状態の敵へのダメージ
Pitiless Killer,無慈悲な殺し屋
"Judge, Jury, and Executioner",裁判官であり、陪審であり、処刑人でもある
Witchbane,ウイッチベイン
No Mercy,慈悲はない
Obsessive Rituals,執念の儀式
Ceremonial Ablution,儀式の清め
Zealous Inquisition,熱狂的な異端審問
Weapon Master,ウェポンマスター
Skill Gem Quality,スキルジェム品質
Attributes,能力値
Crystalline Potential,結晶のポテンシャル
Implanted Gems,埋め込まれたジェム
Bolstering Implants,強化用インプラント
Motoric Implants,運動強化インプラント
Neurological Implants,神経インプラント
Gem Studded,ジェムの嵌め込み
Advanced Thaumaturgy,上級ソーマタージー
Enhanced Effectiveness,向上した効能
Adaptive Capability,適応能力
Integrated Efficiency,統合された効率
Thaumaturgical Infusion,ソーマタージの注入
Lead me through Grace...,恵みを通して導いて
...and Protect me from Harm,...そして危害から我を守り給え
I am the Thunder...,私は雷であり...
I am the Blizzard...,私は吹雪であり...
...and I Shall Rage,...そして我は怒る
Sunder my Enemies...,...我が敵を切り裂け
...and Scatter Them to the Winds,...敵を粉砕し、風に乗って飛ばせ
Faith is a Choice,信仰は選択である
The Soul Springs Eternal,魂は永遠に湧き出る
Volatility,ボラティリティ
Leech,リーチ
Darkness,ダークネス
Damage as Chaos,ダメージを混沌ダメージとして
Inner Turmoil,内なる混乱
Unravelling,崩壊
Sap of Nightmares,悪夢の受益
Chayula's Gift,チャユラの贈り物
Choice of Power,選択の力
Embrace the Darkness,闇を抱擁せよ
Grasp of the Void,虚無を掴め
Deepening Shadows,深まる影
Choice of Mana,マナの選択
Choice of Life,ライフの選択
Lucid Dreaming,明晰夢
Projectile Proximity Specialisation,接近射撃専門化
Avidity,熱望
Thrilling Chase,スリリングな追跡
Called Shots,コールショット
Bullseye,ブルズアイ
Poison Effect,毒効果
Elemental Ailment Threshold,Elemental Ailment Threshold
Passive Points,パッシブポイント
Running Assault,疾走する攻撃
Contagious Contamination,感染性汚染
Overwhelming Toxicity,圧倒する毒物
Sustainable Practices,持続可能な戦術
Enduring Elixirs,持続するエリクサー
Brew Concoction,醸造された混合物
Explosive Concoction,エクスプローシブコンコクション
Shattering Concoction,シャッタリングコンコクション
Fulminating Concoction,フォーミネイティングコンコクション
Acidic Concoction,アシッドコンコクション
Bleeding Concoction,ブリーディングコンコクション
Practical Remedies,Practical Remedies
Dousing Vial,Dousing Vial
Thawing Campfire,解凍の焚火
Grounding Stick,Grounding Stick
Traveller's Wisdom,旅行者の知恵
Critical Strike,クリティカルストライク
Penetrate,貫通
Predatory Instinct,捕食者の本能
In for the Kill,止めを刺せ
Surging Avatar,サージの化身
Elemental Surge,エレメンタルサージ
Azmeri Brew,アズメリの醸造酒
Stalking Panther,忍び寄るクロヒョウ
Mystic Harvest,神秘の収穫
Reduced Mana,マナ減少
Reduced Spirit,スピリット減少
Reduced Resistances,耐性減少
Life Recovery Rate,ライフ回復レート
Mystic Attunement,神秘との調和
Unfurled Finger,吊るされた指
Intricate Sigils,精巧な紋章
Mind Phylacteries,思考の護符
Wildwood Persistence,原生林のしぶとさ
Corrupted Lifeforce,穢れたライフフォース
As the Whispers Demand,囁きが欲するがままに
[Jewel] Socket,[Jewel|ジュエル]ソケット
Buckler Mastery,バックラーマスタリー
Companion Mastery,コンパニオンマスタリー
Infusion Mastery,インフュージョンマスタリー
Banner Mastery,バナーマスタリー
Thorns Mastery,棘マスタリー
Charms Mastery,チャームマスタリー
Crossbow Mastery,クロスボウマスタリー
Fire Resistance Mastery,火耐性マスタリー
Flail Mastery,フレイルマスタリー
Power Charge Mastery,パワーチャージマスタリー
Quarterstaff Mastery,クォータースタッフマスタリー
Shapeshifting Mastery,シェープシフトマスタリー
Spear Mastery,スピアマスタリー
Totem Life and Damage,トーテムライフおよびダメージ
Physical Damage and Ignore Physical Damage Reduction,物理ダメージおよび物理ダメージ軽減無視
Mana Leech Speed,マナリーチスピード
Slower Rage Decay,憤怒消失速度減少
Maximum Rage and Armour,最大憤怒およびアーマー
Slower Rage Decay and Armour,憤怒消失速度減少およびアーマー
Savage Intensity,野蛮な激しさ
Veteran's Wrath,古参兵の怒り
"Armour, Chaos Resistance",アーマーおよび混沌耐性
"Physical Damage, Armour",物理ダメージ、アーマー
"Physical Damage, Melee Strike Range",物理ダメージ、近接ストライク距離
"Physical Damage, Rage on Hit",物理ダメージおよびヒット時憤怒
Ancestral Fury,先祖の怒り
Gore Dancer,血塗れの踊り手
"Life Regeneration, Warcry Duration",ライフ自動回復およびウォークライ持続時間
"Sione, Sun's Roar",太陽の咆哮、シオーネ
"Evasion, Chance to Freeze",回避力および凍結確率
Oath of Spring,春の誓い
"Evasion, Chance to Shock",回避力および感電確率
Oath of Winter,冬の誓い
"Evasion, Spell Suppression",回避力およびスペル抑制
Mother's Teachings,母の教え
"Evasion, Chance to Ignite",回避力および発火確率
Oath of Summer,夏の誓い
"Evasion, Elemental Ailment Duration",回避力および元素系状態異常持続時間
Avatar of the Wilds,野生の化身
"Evasion, Tincture Effect",回避力およびチンキ効果
Experienced Herbalist,経験豊富な薬草師
Enduring Suffusion,弛まぬ漲り
Bringer of Ruin,破滅をもたらすもの
"Attack Speed, Bleed Chance",アタックスピードおよび出血確率
Jagged Technique,鋸歯の技術
Determined Survivor,決意の生存者
Measured Retaliation,計算された報復
More Than Skill,技より優れし
"Attack Speed, Attack Damage",アタックスピード・ダメージ
War of Attrition,消耗戦
Worthy Causes,価値ある大義
"Armour and Energy Shield, Shrine Buff Effect",アーマー・エナジーシールドおよびシュラインバフ効果
Calculated Risk,計算されたリスク
Shrapnel Specialist,破片の専門家
"Projectile Speed, Projectile Damage",投射物スピードおよび投射物ダメージ
"Area of Effect, Trap and Mine Throwing Speed",効果範囲、トラップおよびマイン投擲スピード
Warden,Warden
Attack Mana Cost,アタックマナコスト
Staff Spell Block,スタッフスペルブロック
Melee Area of Effect,近接効果範囲
Wild Hunger,野蛮な餓え
Awe and Terror,畏怖と恐怖
Defiant Stand,反抗的な姿勢
Renowned Deeds,名高い功績
Banner Area of Effect,バナー効果範囲
Banner Valour Gained,バナー勇猛獲得
Banner Maximum Valour and Duration,バナー最大勇猛および持続時間
Banner Maximum Valour,バナー最大勇猛
Wicked Blade,邪悪な刃
Bleed Duration,出血持続時間
Master of Wounds,傷の支配者
Impale Chance and Attack Speed,串刺し確率およびアタックスピード
Leader of the Pack,群れのリーダー
Spirit of War,戦の精神
Slower Mana Burn,マナ燃焼減速
Tincture Effect,チンキ効果
Practised Reapplication,器用な再適用
Colloidal Mixture,コロイド混合物
Perfected Formula,完成された製法
Feline Swiftness,猫の素早さ
As The Mountain,山の如し
Block and Armour,ブロックおよびアーマー
Wall of Steel,鋼鉄の壁
As The Thunder,雷霆の如し
Savage Skewering,残忍な串刺し
Nomadic Teachings,遊牧民の教え
Bleed and Critical Strike Chance,出血およびクリティカル率
Aggravate Bleeding On Critical Strike Chance,クリティカル率時出血悪化
Cornered Prey,追い詰められた獲物
Tincture Mana on Kill,チンキ撃破時マナ
Burst of Energy,エネルギー爆発
Flask and Tincture Effect,フラスコおよびチンキ効果
Roaring Challenge,咆哮の挑戦
Two Handed Melee Damage and Ignore Physical Damage Reduction,両手近接武器ダメージおよび物理ダメージ軽減無視
Spell Damage and Stun Recovery,スペルダメージおよびスタン復帰
Arcane Retaliation,アーケインの報復
Spell Damage Over Time,スペル継続ダメージ
Spell Damage Over Time Multiplier,スペル継続ダメージ倍率
Spell Damage Over Time Multiplier and Duration,スペル継続ダメージ倍率および持続時間
Hasty Demise,素早い死
Harsh Lessons,厳しい教訓
Tincture Mastery,チンキマスタリー
Vinespike Cordial,蔓棘の強壮薬
Selective Precision,選択的精度
Legacy of the Wilds,野生の遺産
Hollow Effigy,空の人形
Force of Darkness,闇の力
Lasting Tempest,持続する大嵐
Adaptive Steel,適応する鋼
Always Angry,継続する怒り
Sione's Ambition,シオーネの野望
Bastion of Faith,信仰の砦
Beacon of Hope,希望の烽火
"Wood, Stone, and Spell",木、石、そして呪文
Jagged Wounds,ギザギザの傷
No Forgiveness,許しはない
Deliberate Brutality,計画的蛮行
Knowledge Barrier,知識の壁
Incorporeal,霊的な
Mixed Munitions,混合弾薬
Worship the Blightheart,ワーシップ・ザ・ブライトハート
Unrestrained Focus,束縛なき集中
Careful Counterattack,注意深い反撃
Prepared Response,用意された反応
Flow of Battle,戦いの流れ
Cruel Retort,残酷な切り返し
Indiscriminate Revenge,無差別の復讐
Crushing Reply,壊滅的な応酬
Retaliation Skill Damage and Shield Block,報復スキルダメージおよび盾ブロック
Retaliation Skill Damage,報復スキルダメージ
Retaliation Skill Speed and Shield Spell Block,報復スキルスピードおよび盾スペルブロック
Retaliation Mastery,報復マスタリー
Retaliation Skill Usable Duration,報復受け付け持続時間
Retaliation Skill Cooldown Recovery,報復クールダウン回復
Retaliation Skill Speed,報復スキルスピード
Retaliation Skill Area Of Effect,報復スキル効果範囲
Retaliation Skill Stun Duration,報復スキルスタン持続時間
Retaliation Skill Damage and Stun Threshold,報復スキルダメージおよびスタン閾値
Arsenal of Vengeance,アーセナルオブベンジェンス
Seasoned Hunter,熟練の狩人
Bloodsoaked Blade,ブラッドソークドブレード
Chaos Resistance and Minion Damage,混沌耐性およびミニオンダメージ
"Critical Strike Chance, Mark Effect",クリティカル率、呪印効果
Knife in the Back,背中のナイフ
"Critical Strike Chance, Poison Chance",クリティカル率、毒確率
"Critical Strike Chance, Spell Damage",クリティカル率、スペルダメージ
Mystical Infusion,神秘のインフュージョン
"Critical Strike Chance, Life",クリティカル率、ライフ
Shadowed Blood,影の血
Assassination Style,暗殺スタイル
Infused Toxins,強化毒
Chaos Bloodline,カオスのブラッドライン
Corruption's Embrace,穢れの抱擁
Deceitful Servant,偽りの従者
Priest of Yaomac,ヤオマックの司祭
Priest of Kopec,コペックの司祭
Priest of Kamasa,カマサの司祭
Vaal Souls,ヴァールソウル
Oshabi Bloodline,オシャビのブラッドライン
The Primal Owl,プライマルのフクロウ
Seal gain frequency,シール獲得頻度
The Wild Bear,ワイルドのクマ
Rage,Rage
The Vivid Cat,ビビッドのネコ
Elusive effect,身躱し効果
Nameless Bloodline,名もなき者のブラッドライン
The Unseen Hand,目に見えぬ手
Toad's Price,蛙の対価
Serpent's Price,蛇の対価
Beetle's Price,虫の対価
Unlight Silhouette,闇に浮かぶ人影
Catarina Bloodline,カタリナブラッドライン
 Death Offering,死の捧げもの
Umbral Army,影の軍団
Prolonged Servitude,果てなき隷属
Aul Bloodline,アウルブラッドライン
 Precursor's Release,先人の解放
Defences,防御力
Legacy of the King,王の遺物
The King's Contempt,王の軽蔑
The King's Heritage,王の血統
The King's Might,王の力
Lycia Bloodline,リシアブラッドライン
Bitter Heresy,痛烈な異端
Sinner Saint,罪深き聖人
Farewell to Flesh,肉体との別れ
Herald and Minion Damage,ヘラルドおよびミニオンダメージ
Olroth Bloodline,オルロスブラッドライン
Enhanced Starlight,増幅された星明り
Ward,ウォード
Volatile Runes,爆発性のルーン
Runic Boon,ルーンの贈り物
Boon of the River,川の贈り物
Boon of the Mountain,山の贈り物
Boon of the Sun,太陽の贈り物
Farrul Bloodline,ファルウルブラッドライン
Huntleader,狩りのリーダー
Primal Roar,原始の咆哮
Farrul's Will,ファルウルの意思
Farric Will,眷属の意思
Fertile Will,生命力の意思
Wild Will,荒野の意思
Maximum Spectres and Minion Life,スペクター最大数およびミニオンライフ
Delirious,せん妄
You're the crazy one!,お前は気が狂ってるよ！
It wasn't me!,それは俺じゃない！
That didn't happen!,こんなこと起きるはずがない！
Life Recovery rate,ライフ回復レート
Breachlord,ブリーチロード
Esh of the Storm,嵐のエシュ
 Lightning Damage,雷ダメージ
Tul of the Blizzard,吹雪のトゥル
Otherworldly Appendages,Otherworldly Appendages
Maximum Life,最大ライフ
Scent of Blood,血の匂い
Endurance Charge Mastery,エンデュランスチャージマスタリー
Surpassing Arrow Chance,矢の超過可能確率
Quick Fingers,速射
Parry Area,パリィ範囲
Off-Balancing Retort,体勢崩しの反撃
Parried Debuff Magnitude,パリィのデバフ強度
Parried Debuff Magnitude and Duration,パリィのデバフ強度および持続時間
Bolt Speed,ボルトスピード
Specialised Shots,特化ショット
Evasion and Reduced Movement Penalty,回避力および移動スピードペナルティ減少
Iron Slippers,鉄のスリッパ
Energy Shield and Armour applies to Elemental Damage Hits,エナジーシールドおよび元素ダメージヒットにアーマー適用
Armour and Energy Shield Delay,アーマーおよびエナジーシールド遅延
Ruinic Helm,ルーンの兜
Parry Area and Debuff Magnitude,パリィ範囲およびデバフ強度
Parry Debuff Magnitude,パリィのデバフ強度
Reverberating Parry,反響の受け流し
Life Regeneration and Damage,ライフ自動回復およびダメージ
Bonded Precision,絆の精密性
Mauling Stuns,殴打のスタン
Maximum Rage while Shapeshifted,シェープシフト中の憤怒最大値
Primal Rage,原始の憤怒
Invigorating Hate,活力の憎しみ
Rage Decay,憤怒喪失
Mystical Rage,神秘の憤怒
Rage on Ignite,発火時憤怒
Chill Magnitude and Duration,冷却強度および持続時間
Chill Magnitude,冷却強度
Freeze Threshold,凍結閾値
Cold Coat,冷気の覆い
Freeze Buildup and Skill Effect Duration,凍結蓄積およびスキル効果持続時間
Skill Effect Duration,スキル効果持続時間
Blessing of the Moon,月の祝福
Toxic Sludge,毒性ヘドロ
Fire Damage when consuming an Endurance Charge,エンデュランスチャージ消費時火ダメージ
